gender,ethnic,age_group,bmi_group,mean,sd,n_subjects
2,4,2,1,162.7216,10.48682,1
2,4,2,2,162.7216,10.48682,0
2,4,2,3,162.7216,10.48682,0
2,4,2,4,162.7216,10.48682,0
2,4,2,5,162.7216,10.48682,2
2,4,2,6,162.7216,10.48682,0
2,4,2,7,162.7216,10.48682,0
2,4,2,8,162.7216,10.48682,0
2,4,3,1,162.7216,10.48682,1
2,4,3,2,162.7216,10.48682,0
2,4,3,3,162.7216,10.48682,0
2,4,3,4,162.7216,10.48682,2
2,4,3,5,162.7216,10.48682,1
2,4,3,6,162.7216,10.48682,0
2,4,3,7,162.7216,10.48682,0
2,4,3,8,162.7216,10.48682,0
2,4,4,1,162.7216,10.48682,1
2,4,4,2,162.7216,10.48682,3
2,4,4,3,162.7216,10.48682,2
2,4,4,4,162.7216,10.48682,0
2,4,4,5,162.7216,10.48682,1
2,4,4,6,162.7216,10.48682,0
2,4,4,7,162.7216,10.48682,0
2,4,4,8,162.7216,10.48682,0
2,4,5,1,162.7216,10.48682,0
2,4,5,2,162.7216,10.48682,0
2,4,5,3,162.7216,10.48682,0
2,4,5,4,162.7216,10.48682,1
2,4,5,5,162.7216,10.48682,0
2,4,5,6,162.7216,10.48682,0
2,4,5,7,162.7216,10.48682,0
2,4,5,8,162.7216,10.48682,0
2,4,6,1,162.7216,10.48682,0
2,4,6,2,162.7216,10.48682,0
2,4,6,3,162.7216,10.48682,1
2,4,6,4,162.7216,10.48682,0
2,4,6,5,162.7216,10.48682,0
2,4,6,6,162.7216,10.48682,0
2,4,6,7,162.7216,10.48682,1
2,4,6,8,162.7216,10.48682,1
